#
# National Water Information System
# 2025/01/10
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
huc_cd	huc_class_cd	huc_nm
12s	15s	64s
01	Region	New England Region
0101	Subregion	St. John
010100	Other	St. John
01010001	Cataloging Unit	Upper St. John
01010002	Other	Allagash River
0101000201	Other	Eagle Lake
010100020101	Other	Smith Brook
010100020102	Other	Russell Brook
010100020103	Other	Soper Brook
010100020104	Other	Snare Brook
010100020105	Other	Woodman Brook-Eagle Lake
0101000202	Other	Churchill Lake
010100020201	Other	Thoroughfare Brook
010100020202	Other	North Twin Brook
010100020203	Other	Pleasant Stream
010100020204	Other	Churchill Lake
0101000203	Other	Chemquasabamticook Stream
010100020301	Other	Ross Inlet
010100020302	Other	Fool Brook
010100020303	Other	Chemquasabamticook Lake
010100020304	Other	Clayton Lake
010100020305	Other	Priestly Brook
010100020306	Other	Holmes Brook
010100020307	Other	Cunliffe Brook
010100020308	Other	Chemquasabamticook Stream
0101000204	Other	Long Lake
010100020401	Other	Harrow Lake-Harrow Brook
010100020402	Other	Priestly Lake-Drake Brook
010100020403	Other	Upper Allagash River
010100020404	Other	Glazier Brook
010100020405	Other	Shepherd Brook
010100020406	Other	Grey Brook-Long Lake
0101000205	Other	Musquacook Stream
010100020501	Other	Third Musquacook Lake
010100020502	Other	First Musquacook Lake
010100020503	Other	Little Musquacook Stream
010100020504	Other	Robbins Brook
010100020505	Other	Musquacook Stream
0101000206	Other	Big Brook
010100020601	Other	Conners Brook
010100020602	Other	Big Brook
0101000207	Other	Allagash River
010100020701	Other	Harding Brook
010100020702	Other	Whittaker Brook
010100020703	Other	Schedule Brook
010100020704	Other	Middle Allagash River
010100020705	Other	Five Finger Brook
010100020706	Other	Ben Glazier Brook
010100020707	Other	Ramsay Brook
010100020708	Other	Farm Brook
010100020709	Other	McKeen Brook
010100020710	Other	West Twin Brook
010100020711	Other	Lower Allagash River
01010003	Other	Fish River
0101000301	Other	Fish River Lake-Fish River
010100030101	Other	Fox Brook
010100030102	Other	Clayton Lake-Fish River
010100030103	Other	Smith Brook
010100030104	Other	North Pond Brook-Chase Brook
010100030105	Other	Fish River Lake-Fish River
0101000302	Other	Saint Froid Lake-Fish River
010100030201	Other	Chase Brook
010100030202	Other	Mosquito Brook
010100030203	Other	Portage Lake-Fish River
010100030204	Other	Rocky Brook
010100030205	Other	Red River
010100030206	Other	Birch River
010100030207	Other	Saint Froid Lake-Fish River
0101000303	Other	Eagle Lake-Fish River
010100030301	Other	McLean Brook
010100030302	Other	Long Lake
010100030303	Other	Mud Lake
010100030304	Other	Dickey Brook
010100030305	Other	Daigle Brook
010100030306	Other	Cross Lake
010100030307	Other	Little Goddard Brook
010100030308	Other	Goddard Brook
010100030309	Other	Square Lake
010100030310	Other	Eagle Lake-Fish River
0101000304	Other	Fish River
010100030401	Other	Wallagrass Stream
010100030402	Other	Perley Brook
010100030403	Other	Outlet Fish River
01010004	Other	Aroostook River
0101000401	Other	Millinocket Stream
010100040101	Other	Chandler Brook
010100040102	Other	Millinocket Lake
010100040103	Other	Millimagassett Stream
010100040104	Other	Millinocket Stream
0101000402	Other	Munsungan Stream
010100040201	Other	Chase Lake
010100040202	Other	Little Munsungan Lake
010100040203	Other	Munsungan Stream
0101000403	Other	Mooseleuk Stream
010100040301	Other	Bartlett Brook-Spring Brook
010100040302	Other	Chase Brook
010100040303	Other	Mooseleuk Lake
010100040304	Other	Smith Brook
010100040305	Other	Chandler Stream
010100040306	Other	Mooseleuk Stream
0101000404	Other	Umcolcus Stream
010100040401	Other	West Branch Umcolcus Stream
010100040402	Other	Umcolcus Stream
0101000405	Other	Saint Croix Stream
010100040501	Other	Tracy Brook
010100040502	Other	Saint Croix Lake
010100040503	Other	Howe Brook
010100040504	Other	Beaver Brook
010100040505	Other	Blackwater River
010100040506	Other	Mack Brook-Saint Croix Stream
010100040507	Other	Cranberry Brook-Saint Croix Stream
0101000406	Other	LaPomkeag Stream-Aroostook River
010100040601	Other	La Pomkeag Lake-La Pomkeag Stream
010100040602	Other	Hayden Brook
010100040603	Other	Farm Camp Brook-Aroostook River
010100040604	Other	Otter Brook
010100040605	Other	Trout Brook
010100040606	Other	Shields Brook-Aroostook River
0101000407	Other	Big Machias Lake
010100040701	Other	Rocky Brook
010100040702	Other	Pratt Lake Stream
010100040703	Other	Big Machias Lake
0101000408	Other	Machias River
010100040801	Other	South Branch Machias River
010100040802	Other	Upper Machias River
010100040803	Other	McConnell Brook
010100040804	Other	Carry Brook
010100040805	Other	Greenlaw Stream
010100040806	Other	Lower Machias River
0101000409	Other	Beaver Brook
010100040901	Other	West Branch Beaver Brook
010100040902	Other	East Branch Beaver Brook
010100040903	Other	Burpee Brook
010100040904	Other	Bugbee Brook-Beaver Brook
0101000410	Other	Scopan Lake-Aroostook River
010100041001	Other	Scopan Lake
010100041002	Other	Clayton Brook-Scopan Stream
010100041003	Other	Horse Brook-Aroostook River
010100041004	Other	Little Machias Lake
010100041005	Other	Little Machias River
010100041006	Other	Alder Brook-Aroostook River
010100041007	Other	Gardner Brook-Aroostook River
0101000411	Other	Presque Isle Stream
010100041101	Other	West Branch Presque Isle Stream
010100041102	Other	East Branch Presque Isle Stream
010100041103	Other	Burnt Land Brook
010100041104	Other	Shields Brook-Presque Isle Stream
010100041105	Other	Alder Brook-Grendell Brook
010100041106	Other	North Branch Presque Isle Stream
010100041107	Other	Arnold Brook-Presque Isle Stream
0101000412	Other	Salmon Brook-Aroostook River
010100041201	Other	Salmon Brook
010100041202	Other	Pettingill Brook-Aroostook River
010100041203	Other	Prestilel Brook-Aroostook River
0101000413	Other	Little Madawaska River
010100041301	Other	Madawaska Lake
010100041302	Other	Upper Little Madawaska River
010100041303	Other	Armstrong Brook
