#
# National Water Information System
# 2025/01/10
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
tz_cd	tz_nm	tz_ds	tz_utc_offset_tm	tz_dst_cd	tz_dst_nm	tz_dst_utc_offset_tm
5s	31s	34s	6s	6s	31s	6s
ACST	Central Australia Standard Time	Central Australia	+09:30	ACSST	Central Australia Summer Time	+10:30
AEST	Australia Eastern Standard Time	Eastern Australia	+10:00	AESST	Australia Eastern Summer Time	+11:00
AFT	Afghanistan Time	Afghanistan	+04:30	 	 	 
AKST	Alaska Standard Time	Alaska	-09:00	AKDT	Alaska Daylight Time	-08:00
AST	Atlantic Standard Time (Canada)	Atlantic (Canada)	-04:00	ADT	Atlantic Daylight Time	-03:00
AWST	Australia Western Standard Time	Western Australia	+08:00	AWSST	Australia Western Summer Time	+09:00
BT	Baghdad Time	Baghdad	+03:00	 	 	 
CAST	Central Australia Standard Time	Central Australia	+09:30	CADT	Central Australia Daylight Time	+10:30
CCT	China Coastal Time	China Coastal	+08:00	 	 	 
CET	Central European Time	Central Europe	+01:00	CETDST	Central European Daylight Time	+02:00
CST	Central Standard Time	Central North America	-06:00	CDT	Central Daylight Time	-05:00
DNT	Dansk Normal Time	Dansk	+01:00	 	 	 
DST	Dansk Summer Time	Dansk	+01:00	 	 	 
EAST	East Australian Standard Time	East Australia	+10:00	EASST	East Australian Summer Time	+11:00
EET	Eastern Europe Standard Time	Eastern Europe, Russia Zone 1	+02:00	EETDST	Eastern Europe Daylight Time	+03:00
EST	Eastern Standard Time	Eastern North America	-05:00	EDT	Eastern Daylight Time	-04:00
FST	French Summer Time	French	+01:00	FWT	French Winter Time	+02:00
GMT	Greenwich Mean Time	Great Britain	 00:00	BST	British Summer Time	+01:00
GST	Guam Standard Time	Guam Standard Time, Russia Zone 9	+10:00	 	 	 
HST	Hawaii Standard Time	Hawaii	-10:00	HDT	Hawaii Daylight Time	-09:00
IDLE	International Date Line, East	International Date Line, East	+12:00	 	 	 
IDLW	International Date Line, West	International Date Line, West	-12:00	 	 	 
IST	Israel Standard Time	Israel	+02:00	 	 	 
IT	Iran Time	Iran	+03:30	 	 	 
JST	Japan Standard Time	Japan Standard Time, Russia Zone 8	+09:00	 	 	 
JT	Java Time	Java	+07:30	 	 	 
KST	Korea Standard Time	Korea	+09:00	 	 	 
LIGT	Melbourne, Australia	Melbourne	+10:00	 	 	 
MET	Middle Europe Time	Middle Europe	+01:00	METDST	Middle Europe Daylight Time	+02:00
MEWT	Middle Europe Winter Time	Middle Europe	+01:00	MEST	Middle Europe Summer Time	+02:00
MEZ	Middle Europe Zone	Middle Europe	+01:00	 	 	 
MST	Mountain Standard Time	Mountain North America	-07:00	MDT	Mountain Daylight Time	-06:00
MT	Moluccas Time	Moluccas	+08:30	 	 	 
NFT	Newfoundland Standard Time	Newfoundland	-03:30	NDT	Newfoundland Daylight Time	-02:30
NOR	Norway Standard Time	Norway	+01:00	 	 	 
NST	Newfoundland Standard Time	Newfoundland	-03:30	NDT	Newfoundland Daylight Time	-02:30
NZST	New Zealand Standard Time	New Zealand	+12:00	NZDT	New Zealand Daylight Time	+13:00
NZT	New Zealand Time	New Zealand	+12:00	NZDT	New Zealand Daylight Time	+13:00
PST	Pacific Standard Time	Pacific North America	-08:00	PDT	Pacific Daylight Time	-07:00
SAT	South Australian Standard Time	South Australia	+09:30	SADT	South Australian Daylight Time	+10:30
SET	Seychelles Time	Seychelles	+01:00	 	 	 
SWT	Swedish Winter Time	Swedish	+01:00	SST	Swedish Summer Time	+02:00
UTC	Universal Coordinated Time	Universal Coordinated Time	 00:00	 	 	 
WAST	West Australian Standard Time	West Australia	+07:00	WADT	West Australian Daylight Time	+08:00
WAT	West Africa Time	West Africa	-01:00	 	 	 
WET	Western Europe	Western Europe	 00:00	WETDST	Western Europe Daylight Time	+01:00
WST	West Australian Standard Time	West Australian	+08:00	WDT	West Australian Daylight Time	+09:00
ZP-11	UTC -11 hours	UTC -11 hours	-11:00	 	 	 
ZP-2	UTC -2 hours	Zone UTC -2 Hours	-02:00	 	 	 
ZP-3	UTC -3 hours	Zone UTC -3 Hours	-03:00	 	 	 
ZP11	UTC +11 hours	Zone UTC +11 Hours	+11:00	 	 	 
ZP4	UTC +4 hours	Zone UTC +4 Hours	+04:00	 	 	 
ZP5	UTC +5 hours	Zone UTC +5 Hours	+05:00	 	 	 
ZP6	UTC +6 hours	Zone UTC +6 Hours	+06:00	 	 	 
